h,H,iter_dd,err_rel
0.015625,0.5,33,1.4272e-10
0.015625,0.33333,33,1.4847e-10
0.015625,0.25,52,7.6975e-11
0.015625,0.2,53,5.349e-11
0.015625,0.16667,63,6.149e-11
0.015625,0.14286,64,1.2717e-10
0.015625,0.125,67,4.0741e-11
0.015625,0.11111,73,6.4912e-11
0.015625,0.1,77,8.8837e-11
0.0078125,0.5,52,1.1964e-10
0.0078125,0.33333,51,4.1794e-11
0.0078125,0.25,75,4.9175e-10
0.0078125,0.2,76,6.9543e-12
0.0078125,0.16667,89,3.2086e-10
0.0078125,0.14286,90,1.4809e-10
0.0078125,0.125,97,6.1559e-11
0.0078125,0.11111,104,2.4997e-10
0.0078125,0.1,108,4.6653e-10
0.0039062,0.5,74,4.7446e-10
0.0039062,0.33333,75,2.6849e-10
0.0039062,0.25,107,5.3637e-10
0.0039062,0.2,108,3.649e-10
0.0039062,0.16667,126,6.9174e-11
0.0039062,0.14286,127,2.0737e-10
0.0039062,0.125,139,1.0501e-09
0.0039062,0.11111,144,2.3228e-09
0.0039062,0.1,151,1.8363e-09
0.0019531,0.5,106,2.5267e-09
0.0019531,0.33333,108,2.0519e-09
0.0019531,0.25,151,9.2929e-10
0.0019531,0.2,152,2.2709e-09
0.0019531,0.16667,178,3.5978e-09
0.0019531,0.14286,179,3.2889e-09
0.0019531,0.125,196,1.4808e-09
0.0019531,0.11111,203,1.0415e-10
0.0019531,0.1,212,1.44e-09
0.00097656,0.5,151,1.7657e-08
0.00097656,0.33333,153,2.3328e-08
0.00097656,0.25,213,1.5661e-08
0.00097656,0.2,215,1.9817e-08
0.00097656,0.16667,250,1.2905e-08
0.00097656,0.14286,250,1.6552e-08
0.00097656,0.125,277,1.3303e-08
0.00097656,0.11111,288,1.494e-08
0.00097656,0.1,301,1.6764e-08
